ID,Name,Category,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Linoleic acid (g),Alpha-linolenic acid (g),Eicosapentaenoic acid EPA (g),Docosahexaenoic acid (DHA) (g),Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg)","Vitamin A activity, RAE (µg)",Retinol (µg),Beta- carotene activity (µg),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Pantothenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (α-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg),Record has changed
10533,Agar Agar,Various/Gelling and binding agents,160,0.2,,,,,,,,,0.0,,,74.1,2.4,0.3,,20.5,,,,,,,,,,,,,,,,52.0,130.0,,660.0,100.0,34.0,4.5,,1.5,,
10536,Agave syrup,Sweets/Sugar and sweeteners,293,0.0,0.0,,,,,,,,73.1,,,0.0,0.2,0.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
273,Almond,"Nuts, seeds and oleaginous fruit",624,52.1,4.3,33.5,12.1,12.11,0.0,0.0,0.0,0.0,7.8,6.6,0.6,10.6,25.6,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.15,0.94,0.13,0.0,1.88,55.9,0.48,,0.0,25.44,740.0,1.1,40.0,270.0,240.0,510.0,3.3,0.2,3.3,2.2,
14113,"Almond drink, plain",Plant based protein foods and alternaives to animal products/Plant based drinks,33,2.6,0.2,1.6,0.5,0.45,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.3,1.1,0.1,0.0,94.5,0.0,0.0,0.0,0.0,,0.01,0.02,0.0,0.0,0.16,1.9,0.02,0.0,0.0,0.86,34.0,36.0,69.0,12.0,9.5,16.0,0.1,0.4,0.1,0.2,
14131,"Almond drink, plain, with calcium and vitamin fortified",Plant based protein foods and alternaives to animal products/Plant based drinks,33,2.6,0.2,1.6,0.5,0.45,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.3,1.1,0.1,0.0,94.5,0.0,0.0,0.0,0.0,,0.01,0.21,0.0,0.38,0.16,1.9,0.02,0.0,0.8,1.8,34.0,36.0,69.0,120.0,9.5,43.0,0.1,0.4,0.1,0.2,
278,"Almond, dry roasted, salted","Savoury snacks/Salted nuts, seeds and kernels",637,52.5,4.1,33.1,13.0,12.9,0.01,0.0,0.0,0.0,10.1,4.9,0.7,10.9,25.4,0.6,0.0,2.4,0.0,0.0,0.0,1.0,1.0,0.08,1.2,0.14,0.0,3.64,55.0,0.32,0.0,0.0,23.9,710.0,230.0,1190.0,270.0,280.0,470.0,3.7,2.4,3.3,2.0,
269,"Almond, roasted, salted","Savoury snacks/Salted nuts, seeds and kernels",649,55.2,4.2,34.8,13.5,13.5,0.0,0.0,0.0,0.0,7.2,4.6,0.6,10.5,25.6,0.8,0.0,2.8,0.0,0.0,0.0,1.0,1.0,0.09,0.78,0.12,0.0,3.67,27.0,0.23,0.0,0.0,26.0,670.0,330.0,1190.0,240.0,270.0,470.0,3.3,2.4,3.1,2.0,
13398,"Amaranth, seed, cooked (without addition of fat and salt)","Cereal products, pulses and potatoes/Other cereal products",119,2.1,0.4,0.5,0.8,0.83,0.01,0.0,0.0,0.0,18.1,0.5,17.6,3.5,5.0,0.0,0.0,71.2,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.11,0.0,0.34,16.2,0.27,1.0,0.0,0.4,150.0,1.9,36.0,58.0,84.0,180.0,3.0,0.8,1.2,,
13397,"Amaranth, seed, raw","Cereal products, pulses and potatoes/Other cereal products",376,7.0,1.5,1.7,2.8,2.74,0.04,0.0,0.0,0.0,56.8,1.7,55.1,11.0,15.8,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.08,0.19,0.53,0.0,1.2,64.3,0.95,4.2,0.0,1.19,480.0,4.0,110.0,160.0,250.0,560.0,9.0,2.5,3.7,,
868,Amaretti (Almond cookie),Sweets/Cookies/Biscuits,464,13.0,1.1,8.3,3.0,3.01,0.0,0.0,0.0,0.0,76.7,76.4,0.1,2.6,8.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.31,0.04,0.07,0.48,15.0,0.17,0.1,0.0,6.33,220.0,42.0,47.0,69.0,62.0,130.0,0.9,1.7,0.8,3.2,
